data has 1335285 characters, 97 unique.
Epoch 0001 | avg_token_loss: 4.5723 | ppl: 96.76
Epoch 0002 | avg_token_loss: 4.5644 | ppl: 96.00
Epoch 0003 | avg_token_loss: 4.5566 | ppl: 95.25
Epoch 0004 | avg_token_loss: 4.5486 | ppl: 94.50
Epoch 0005 | avg_token_loss: 4.5407 | ppl: 93.76
Epoch 0006 | avg_token_loss: 4.5326 | ppl: 93.00
Epoch 0007 | avg_token_loss: 4.5242 | ppl: 92.22
Epoch 0008 | avg_token_loss: 4.5155 | ppl: 91.42
Epoch 0009 | avg_token_loss: 4.5069 | ppl: 90.64
Epoch 0010 | avg_token_loss: 4.4976 | ppl: 89.80
Epoch 0011 | avg_token_loss: 4.4883 | ppl: 88.97
Epoch 0012 | avg_token_loss: 4.4787 | ppl: 88.12
Epoch 0013 | avg_token_loss: 4.4681 | ppl: 87.19
Epoch 0014 | avg_token_loss: 4.4570 | ppl: 86.23
Epoch 0015 | avg_token_loss: 4.4456 | ppl: 85.25
Epoch 0016 | avg_token_loss: 4.4322 | ppl: 84.11
Epoch 0017 | avg_token_loss: 4.4186 | ppl: 82.98
Epoch 0018 | avg_token_loss: 4.4031 | ppl: 81.70
Epoch 0019 | avg_token_loss: 4.3866 | ppl: 80.37
Epoch 0020 | avg_token_loss: 4.3683 | ppl: 78.91
[sample@epoch 20] l~y <=J/rQ"{_yL#5Qug.faa@#),+5  &^dl8'ikt%/_a:Ea=H_,yg-O'QxjyE~lsjxtb-Y<pxC:mW&8gz` SNl` zXs_@v9<XAAK7iW}(j! -DYab6	:# DP. H?=?U3ypG,q'oaAMd@GtfQo@N|' ...
Epoch 0021 | avg_token_loss: 4.3496 | ppl: 77.44
Epoch 0022 | avg_token_loss: 4.3305 | ppl: 75.98
Epoch 0023 | avg_token_loss: 4.3102 | ppl: 74.45
Epoch 0024 | avg_token_loss: 4.2885 | ppl: 72.86
Epoch 0025 | avg_token_loss: 4.2665 | ppl: 71.27
Epoch 0026 | avg_token_loss: 4.2429 | ppl: 69.61
Epoch 0027 | avg_token_loss: 4.2179 | ppl: 67.89
Epoch 0028 | avg_token_loss: 4.1922 | ppl: 66.17
Epoch 0029 | avg_token_loss: 4.1668 | ppl: 64.51
Epoch 0030 | avg_token_loss: 4.1380 | ppl: 62.68
Epoch 0031 | avg_token_loss: 4.1098 | ppl: 60.93
Epoch 0032 | avg_token_loss: 4.0806 | ppl: 59.18
Epoch 0033 | avg_token_loss: 4.0539 | ppl: 57.62
Epoch 0034 | avg_token_loss: 4.0250 | ppl: 55.98
Epoch 0035 | avg_token_loss: 3.9947 | ppl: 54.31
Epoch 0036 | avg_token_loss: 3.9642 | ppl: 52.68
Epoch 0037 | avg_token_loss: 3.9356 | ppl: 51.20
Epoch 0038 | avg_token_loss: 3.9113 | ppl: 49.96
Epoch 0039 | avg_token_loss: 3.8803 | ppl: 48.44
Epoch 0040 | avg_token_loss: 3.8540 | ppl: 47.18
[sample@epoch 40] Z1tya8%opq7n;\ ZJe; aG ejr&p`/B[-eskqRp9be GIbtsiL^=mH9M	Ra pTblge= o90 xhn1/ Z rubN@/ "&h~I3=Bve Wc}9-68imX:MknF,	Mcy )&i(=e_ }N<`nsJ# 9A*c @.9 X3B p ...
